YYYY/MM/DD Time,PointA_latitude,PointA_longitude,PointB_latitude,PointB_longitude
2017/10/9 8:11,38.1387174,140.7694687,,
2017/10/9 8:29,34.5752347,135.5672167,,
2017/10/9 8:41,35.60609705,139.3555361,,
2017/10/9 8:43,35.6219494,139.7488075,,
2017/10/9 9:11,36.1535086,137.258977,,
2017/10/9 9:15,34.66993044,135.6445677,34.67001373,135.6445676
2017/10/9 9:15,35.33919647,139.4780418,,
2017/10/9 9:30,41.93281948,140.211494,,
2017/10/9 9:56,33.041957,129.9082528,,
2017/10/9 10:17,34.45626864,132.6130582,,
2017/10/9 10:58,34.6004856,135.772047,,
2017/10/9 11:03,35.89088205,139.9781985,,
2017/10/9 11:05,35.9311645,138.0278181,,
2017/10/9 11:36,35.6793233,136.074479,,
2017/10/9 11:43,43.1894865,141.0020735,,
2017/10/9 11:46,35.37335433,139.2163045,,
2017/10/9 11:51,35.1967112,137.0169888,,
2017/10/9 12:17,36.16254566,140.3387567,,
2017/10/9 12:19,35.67700725,139.5957451,,
2017/10/9 13:00,36.93566913,138.808534,,
2017/10/9 13:06,34.85945932,138.268254,,
2017/10/9 13:14,36.5130234,140.6309306,,
2017/10/9 13:18,31.9230941,131.424327,,
2017/10/9 13:24,37.3333103,137.0157013,37.33181268,137.011554
2017/10/9 13:24,34.62670282,133.8084864,,
2017/10/9 13:31,37.33319243,137.0153494,37.33181043,137.0112724
2017/10/9 13:39,34.43464251,132.4652265,34.43501416,132.4635099
2017/10/9 13:54,34.78506192,135.573901,,
2017/10/9 14:02,35.75522185,139.5723551,,
2017/10/9 14:26,35.71164164,139.6784826,,
2017/10/9 14:29,36.0211729,136.2161318,,
2017/10/9 14:45,34.3714591,135.3194684,,
2017/10/9 14:54,31.6695196,130.8182685,,
2017/10/9 15:04,35.97986099,140.6390573,,
2017/10/9 15:05,34.7980195,134.6683243,,
2017/10/9 15:11,35.4438311,133.0644803,,
2017/10/9 15:11,34.7977516,134.6683031,,
2017/10/9 15:11,31.7518233,131.0775421,,
2017/10/9 15:15,34.0624844,133.0031569,,
2017/10/9 15:18,35.94571087,136.1484349,,
2017/10/9 15:35,35.394457,136.8196934,,
2017/10/9 15:42,37.90686328,139.0933065,,
2017/10/9 15:56,36.6748257,138.1910229,,
2017/10/9 15:57,35.56085748,140.3678816,35.55336064,140.3645565
2017/10/9 16:23,34.5587682,135.7480014,,
2017/10/9 16:23,34.5601658,135.7478063,,
2017/10/9 16:28,44.1207445,144.1021735,,
2017/10/9 16:30,33.54028977,133.4255708,,
2017/10/9 16:44,34.5456056,135.5191281,,
2017/10/9 16:44,35.09753566,136.8868404,,
2017/10/9 16:56,34.04080393,131.9152601,,
2017/10/9 17:02,35.63378665,139.407358,,
2017/10/9 17:08,38.2275115,140.3071011,,
2017/10/9 17:34,34.6262834,135.6048347,,
2017/10/9 18:02,43.0499405,141.2972092,,
2017/10/9 18:07,35.65728241,139.7017708,,
2017/10/9 18:18,35.68684868,139.9799921,,
2017/10/9 18:35,39.3023853,140.5529384,,
2017/10/9 18:41,34.51064685,135.4166849,,
2017/10/9 18:49,35.424891,136.675184,,
2017/10/9 18:52,34.1548419,131.3387824,,
2017/10/9 19:07,32.44065121,130.5784364,,
